fecha,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2014-02-02,1.0374999999999999,6.904166666666666,13.916666666666666,95.04166666666667,171.91666666666666,0.012499999999999999,0.33749999999999997,0.02916666666666667,-0.8624999999999999,0.3878333333333333,0.034583333333333334,98.70833333333333,32.875
2014-02-03,0.7916666666666666,11.754166666666668,22.004166666666666,90.33333333333333,120.16666666666667,0.015833333333333335,-0.6625,0.0,-0.6041666666666666,0.3864166666666667,0.06666666666666667,74.625,39.375
2014-02-04,0.7416666666666667,11.4625,22.320833333333336,78.08333333333333,159.33333333333334,0.030833333333333334,-2.7624999999999997,0.0,-0.5125000000000001,0.3829166666666666,0.15375,10.625,73.83333333333333
2014-02-05,0.4041666666666666,12.275,23.166666666666668,82.66666666666667,153.54166666666666,0.02666666666666667,-2.316666666666667,0.0,-0.5333333333333333,0.37954166666666667,0.12083333333333333,45.458333333333336,73.54166666666667
2014-02-06,3.7416666666666667,13.441666666666668,25.3625,85.04166666666667,201.79166666666666,0.028333333333333335,1.3416666666666668,0.0,0.01666666666666666,0.3821666666666667,0.13708333333333333,79.70833333333333,65.0
2014-02-07,6.816666666666666,21.354166666666668,41.9375,71.95833333333333,190.0,0.05625,1.9875,0.07916666666666666,1.9083333333333332,0.39366666666666666,0.29958333333333337,91.95833333333333,44.25
2014-02-08,5.325,16.616666666666667,32.50833333333333,75.70833333333333,188.5,0.042916666666666665,1.2375,0.05416666666666667,1.9875,0.38516666666666666,0.22916666666666666,75.58333333333333,58.791666666666664
2014-02-09,4.758333333333334,16.179166666666667,32.19583333333333,79.125,201.83333333333334,0.03666666666666667,1.3083333333333333,0.03333333333333333,2.0083333333333333,0.3894583333333333,0.18791666666666665,47.375,66.5
2014-02-10,2.9291666666666667,12.924999999999999,25.075,79.70833333333333,148.0,0.03875,-0.3833333333333333,0.0,1.05,0.3770833333333334,0.1725,54.625,87.125
2014-02-11,3.6916666666666664,15.575000000000001,31.49166666666667,82.25,206.375,0.029583333333333336,0.8791666666666668,0.012500000000000002,1.9708333333333334,0.37333333333333335,0.14708333333333334,68.45833333333333,51.75
