,Unnamed: 0,tipo_polinico,granos_de_polen_x_metro_cubico,fecha,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),cloud_cover (%),Benceno (ug/m3),CO (mg/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Tolueno (ug/m3),precip_autumn_last_year,precip_winter_last_year,temp_mean_spring_summer_last,radiation_sum_spring_summer_last,co2_mean_april_may_last,o3_mean_april_may_last,no2_mean_april_may_last,drought_days_summer_last,growing_degree_days_last,polen_last_year
31,31,Gram?neas,2.0,2021-02-01,10.054166666666667,19.725,35.145833333333336,84.08333333333333,246.45833333333331,0.0641666666666666,7.283333333333334,0.0,0.286125,0.225,10.3125,36.5,0.4,0.3,8.0,31.0,44.0,44.0,12.0,4.0,2.0,1.7,,,,,,,,,,
32,32,Gram?neas,0.0,2021-02-02,10.05,14.108333333333334,25.291666666666668,88.0,232.04166666666663,0.0345833333333333,8.0625,0.0083333333333333,0.2697083333333334,0.15875,9.9375,96.08333333333331,0.4,0.3,11.0,28.0,45.0,33.0,9.0,4.0,2.0,1.8,,,,,,,,,,
33,33,Gram?neas,3.0,2021-02-03,9.633333333333333,9.416666666666666,17.837500000000002,86.79166666666667,190.875,0.0279166666666666,7.508333333333333,0.025,0.2684166666666667,0.1620833333333333,9.7375,95.33333333333331,0.4,0.3,14.0,31.0,52.0,24.0,9.0,5.0,2.0,1.8,,,,,,,,,,
34,34,Gram?neas,2.0,2021-02-04,10.341666666666669,7.591666666666666,16.254166666666666,84.79166666666667,181.75,0.0483333333333333,7.758333333333333,0.0958333333333333,0.2692916666666666,0.2075,10.495833333333334,95.625,0.5,0.3,13.0,35.0,55.0,30.0,14.0,8.0,2.0,2.1,,,,,,,,,,
35,35,Gram?neas,2.0,2021-02-05,10.741666666666667,9.983333333333333,22.3625,79.16666666666667,94.58333333333331,0.075,6.941666666666666,0.4083333333333334,0.2946249999999999,0.3179166666666667,10.5875,67.45833333333333,0.6,0.3,11.0,37.0,54.0,30.0,35.0,12.0,3.0,4.4,,,,,,,,,,
36,36,Gram?neas,5.0,2021-02-06,8.012500000000001,8.345833333333333,18.0375,89.83333333333333,152.04166666666666,0.0395833333333333,6.375,0.3833333333333333,0.3642499999999999,0.1175,9.545833333333333,91.79166666666669,0.4,0.3,5.0,29.0,37.0,36.0,15.0,7.0,2.0,1.7,,,,,,,,,,
37,37,Gram?neas,0.0,2021-02-07,7.225,13.295833333333334,24.620833333333334,77.83333333333333,214.625,0.0645833333333333,3.275,0.0416666666666666,0.3301666666666666,0.25,8.654166666666667,71.45833333333333,0.5,0.3,3.0,20.0,24.0,52.0,6.0,3.0,2.0,0.9,,,,,,,,,,
38,38,Gram?neas,0.0,2021-02-08,7.774999999999999,20.2375,41.13333333333333,83.66666666666667,240.08333333333331,0.0520833333333333,5.095833333333333,0.4375,0.3505416666666667,0.1795833333333333,8.429166666666667,75.66666666666667,0.5,0.3,7.0,29.0,40.0,49.0,6.0,2.0,2.0,1.1,,,,,,,,,,
39,39,Gram?neas,1.0,2021-02-09,7.3875,22.40833333333333,43.62083333333333,87.20833333333333,224.375,0.0270833333333333,5.391666666666667,0.5916666666666667,0.3665833333333333,0.1333333333333333,7.5375,89.875,0.4,0.2,6.0,33.0,42.0,51.0,7.0,2.0,2.0,1.2,,,,,,,,,,
40,40,Gram?neas,5.0,2021-02-10,8.620833333333334,19.1,36.15416666666667,76.16666666666667,250.20833333333331,0.0795833333333333,4.25,0.15,0.3677083333333333,0.30125,8.645833333333334,56.708333333333336,0.6,0.3,7.0,35.0,45.0,52.0,12.0,4.0,2.0,1.6,,,,,,,,,,
